Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
0	0	1	14730.57	16.141	real
1	1	50	12125.44	18.0	real
2	50	51	12125.44	18.0	real
3	51	52	10970.247	19.0	real
4	52	53	10970.247	19.0	real
5	53	54	10970.247	19.0	real
6	54	8	10970.247	19.0	real
7	1	56	27389.072	11.0	real
8	56	3	27389.072	11.0	real
9	2	58	14957.19	16.0	real
10	58	41	14957.19	16.0	real
11	2	60	23976.664	12.0	real
12	60	3	23976.664	12.0	real
13	2	62	23976.664	12.0	real
14	62	3	23976.664	12.0	real
15	2	64	14957.19	16.0	real
16	64	65	13443.77	17.0	real
17	65	6	13443.77	17.0	real
18	3	67	16706.241	15.0	real
19	67	49	14957.19	16.0	real
20	4	69	16706.241	15.0	real
21	69	8	16706.241	15.0	real
22	4	71	18743.124	14.0	real
23	71	9	18743.124	14.0	real
24	4	73	12125.44	18.0	real
25	73	7	12125.44	18.0	real
26	5	75	18743.124	14.0	real
27	75	76	18743.124	14.0	real
28	76	8	18743.124	14.0	real
29	5	78	21136.187	13.0	real
30	78	79	18743.124	14.0	real
31	79	47	18743.124	14.0	real
32	6	81	12125.44	18.0	real
33	81	82	10970.247	19.0	real
34	82	83	10970.247	19.0	real
35	83	7	10970.247	19.0	real
36	8	85	12125.44	18.0	real
37	85	32	12125.44	18.0	real
38	8	35	22316.015	12.563	real
39	8	87	12125.44	18.0	real
40	87	88	12125.44	18.0	real
41	88	38	12125.44	18.0	real
42	8	90	14957.19	16.0	real
43	90	91	14957.19	16.0	real
44	91	92	13443.77	17.0	real
45	92	93	13443.77	17.0	real
46	93	47	13443.77	17.0	real
47	8	95	23976.664	12.0	real
48	95	36	21136.187	13.0	real
49	8	97	13443.77	17.0	real
50	97	30	12125.44	18.0	real
51	8	99	27389.072	11.0	real
52	99	31	23976.664	12.0	real
53	9	101	21136.187	13.0	real
54	101	32	21136.187	13.0	real
55	10	11	14251.169	16.449	real
56	11	103	16706.241	15.0	real
57	103	19	14957.19	16.0	real
58	11	105	10970.247	19.0	real
59	105	23	9952.679	20.0	real
60	12	30	46164.392	7.624	real
61	12	30	46164.392	7.624	real
62	13	14	10885.149	19.079	real
63	13	107	10970.247	19.0	real
64	107	30	9952.679	20.0	real
65	14	42	15279.987	15.804	real
66	14	109	12125.44	18.0	real
67	109	110	10970.247	19.0	real
68	110	15	10970.247	19.0	real
69	14	112	14957.19	16.0	real
70	112	113	14957.19	16.0	real
71	113	114	14957.19	16.0	real
72	114	115	13443.77	17.0	real
73	115	45	13443.77	17.0	real
74	15	117	12125.44	18.0	real
75	117	118	12125.44	18.0	real
76	118	16	10970.247	19.0	real
77	16	17	9128.848	20.91	real
78	16	17	9128.848	20.91	real
79	17	120	13443.77	17.0	real
80	120	18	12125.44	18.0	real
81	18	122	18743.124	14.0	real
82	122	123	18743.124	14.0	real
83	123	19	16706.241	15.0	real
84	19	125	18743.124	14.0	real
85	125	24	16706.241	15.0	real
86	19	127	10970.247	19.0	real
87	127	128	10970.247	19.0	real
88	128	129	10970.247	19.0	real
89	129	30	10970.247	19.0	real
90	20	26	13827.262	16.733	real
